age_group,poverty_rate,ubi
adult,0.12458153091922008,0
child,0.13888687042626047,0
adult,0.11167498037781784,1000
child,0.11056273718123667,1000
adult,0.09986583680521734,2000
child,0.08503632355619421,2000
adult,0.08952819354497736,3000
child,0.06546091795406928,3000
adult,0.07992077679052725,4000
child,0.050698964344512536,4000
adult,0.0716791504439533,5000
child,0.03877640688048022,5000
adult,0.06490774527127692,6000
child,0.029404665692953334,6000
adult,0.05844065714724301,7000
child,0.02230201574786328,7000
adult,0.05373192088732437,8000
child,0.016422591018808833,8000
adult,0.049527744268722855,9000
child,0.01205746862647228,9000
adult,0.045815295434563266,10000
child,0.009275912289752396,10000
adult,0.04288968675709962,11000
child,0.007199690484782039,11000
