age_group,statefip,poverty_rate,ubi
adult,1,0.12149634202078559,0
adult,2,0.12937588252824905,0
adult,4,0.11652525579859972,0
adult,5,0.1330365057739396,0
adult,6,0.16769599049947756,0
adult,8,0.11772159435680925,0
adult,9,0.10715893398752367,0
adult,10,0.10628232641913053,0
adult,11,0.1691008016453689,0
adult,12,0.15344431412943962,0
adult,13,0.13085962817347924,0
adult,15,0.13263156745595242,0
adult,16,0.08728430246855547,0
adult,17,0.11079781722217533,0
adult,18,0.09702168258331123,0
adult,19,0.07252056725074231,0
adult,20,0.07610784239619062,0
adult,21,0.11499632830983275,0
adult,22,0.15615376891491894,0
adult,23,0.09354837923253576,0
adult,24,0.12835858491520064,0
adult,25,0.11694807406500378,0
adult,26,0.09931682408216028,0
adult,27,0.06928591832411825,0
adult,28,0.14873289098594725,0
adult,29,0.08908564587237787,0
adult,30,0.09295590485164273,0
adult,31,0.08937796303183392,0
adult,32,0.13489655025923253,0
adult,33,0.08551415767465882,0
adult,34,0.12758972343257025,0
adult,35,0.1350810164335326,0
adult,36,0.14648388064506115,0
adult,37,0.1321840135185465,0
adult,38,0.09523753933770063,0
adult,39,0.10054859782638703,0
adult,40,0.10867507746895752,0
adult,41,0.11508093220571992,0
adult,42,0.1065649652492036,0
adult,44,0.07603908591799247,0
adult,45,0.12823396603349324,0
adult,46,0.09031165190939938,0
adult,47,0.10902442671605188,0
adult,48,0.13617022614284488,0
adult,49,0.08456517684985725,0
adult,50,0.10143477473986963,0
adult,51,0.11330719387103429,0
adult,53,0.08239610820400131,0
adult,54,0.12304941755565445,0
adult,55,0.07791470858887706,0
adult,56,0.10232688214889155,0
child,1,0.1480880529062801,0
child,2,0.1434824648381318,0
child,4,0.13011871781991013,0
child,5,0.12455461901260845,0
child,6,0.19611608418192744,0
child,8,0.11426658872805338,0
child,9,0.1361719776907772,0
child,10,0.10446648228776158,0
child,11,0.17273340619684383,0
child,12,0.183897054291605,0
child,13,0.1548079214684841,0
child,15,0.15579041121495593,0
child,16,0.07068037080272094,0
child,17,0.12461559415644623,0
child,18,0.12634314822174683,0
child,19,0.08098375285705657,0
child,20,0.07283059305105355,0
child,21,0.10306811491355024,0
child,22,0.19481613600556655,0
child,23,0.09558038617851207,0
child,24,0.11249040194593342,0
child,25,0.10660655585566338,0
child,26,0.10493747289913348,0
child,27,0.05308249193465335,0
child,28,0.17046693877535699,0
child,29,0.08841729791953855,0
child,30,0.080390414566317,0
child,31,0.0971094658690989,0
child,32,0.13739565251922378,0
child,33,0.08107633281934379,0
child,34,0.13755494449664488,0
child,35,0.1390355845783609,0
child,36,0.17207990500273238,0
child,37,0.1488266320322331,0
child,38,0.09788994090906393,0
child,39,0.11298411217043772,0
child,40,0.10126629148005974,0
child,41,0.10305123435468981,0
child,42,0.12976504328755797,0
child,44,0.10143016240695714,0
child,45,0.15055735172455198,0
child,46,0.09117715219279293,0
child,47,0.12108324757955195,0
child,48,0.15346281235589898,0
child,49,0.0761745119067997,0
child,50,0.12404149838153594,0
child,51,0.13356477827362156,0
child,53,0.08842402631899315,0
child,54,0.13437000907647015,0
child,55,0.08162486492330176,0
child,56,0.09262511324332216,0
adult,1,0.10728142075413633,1000
adult,2,0.11873754951729476,1000
adult,4,0.09977409830917074,1000
adult,5,0.11376964727425636,1000
adult,6,0.15376662130111887,1000
adult,8,0.10468471489262518,1000
adult,9,0.0980141039687119,1000
adult,10,0.09233415548720422,1000
